tmdb_id,title,content_type,overview,tmdb_genres,runtime,platform,release_date,poster_url,source
1017163,범죄도시 4,MOVIE,"신종 마약 사건 3년 뒤, 괴물형사 마석도와 서울 광수대는 배달앱을 이용한 마약 판매 사건을 수사하던 중 수배 중인 앱 개발자가 필리핀에서 사망한 사건이 대규모 온라인 불법 도박 조직과 연관되어 있음을 알아낸다. 필리핀에 거점을 두고 납치, 감금, 폭행, 살인 등으로 대한민국 온라인 불법 도박 시장을 장악한 특수부대 용병 출신의 빌런 백창기와 한국에서 더 큰 판을 짜고 있는 IT업계 천재 CEO 장동철. 마석도는 더 커진 판을 잡기 위해 장이수에게 뜻밖의 협력을 제안하고 광역수사대는 물론, 사이버수사대까지 합류해 범죄를 소탕하기 시작하는데…","[{""id"": 28, ""name"": ""액션""}, {""id"": 80, ""name"": ""범죄""}, {""id"": 53, ""name"": ""스릴러""}, {""id"": 35, ""name"": ""코미디""}]",109,"Disney Plus, wavve, Google Play Movies",2024-04-24,https://image.tmdb.org/t/p/w500/jucHQwnRSma1O9V2bM007e4eSd7.jpg,TMDB
1355666,고백의 역사,MOVIE,"사랑에 빠진 10대 소녀, 학교 최고 인기남의 마음을 얻기 위해 곱슬머리를 생머리로 바꾸기로 결심한다.","[{""id"": 10749, ""name"": ""로맨스""}, {""id"": 18, ""name"": ""드라마""}, {""id"": 35, ""name"": ""코미디""}]",121,"Netflix, Netflix Standard with Ads",2025-08-28,https://image.tmdb.org/t/p/w500/hOi5K1tx8aAZN239VU1qzvyao87.jpg,TMDB
897160,용감한 시민,MOVIE,"불의는 못 본 척, 성질은 없는 척, 주먹은 약한 척 먹고 살기 위해 조용히 살아 온 기간제 교사 소시민. 법도 경찰도 무서울 것 하나 없는 안하무인 절대권력 한수강의 선을 넘는 행동을 목격하게 된다. 그의 계속되는 악행을 도저히 참을 수 없었던 그녀, 정체를 숨긴 채 통쾌한 한 방을 날리기로 마음 먹는데…","[{""id"": 28, ""name"": ""액션""}, {""id"": 18, ""name"": ""드라마""}, {""id"": 35, ""name"": ""코미디""}]",112,"wavve, Google Play Movies",2023-10-25,https://image.tmdb.org/t/p/w500/oVJDtwC41sGx5zmWiEkhqwBlopD.jpg,TMDB
705996,헤어질 결심,MOVIE,"산 정상에서 추락한 한 남자의 변사 사건. 담당 형사 해준은 사망자의 아내 서래와 마주하게 된다. 남편의 죽음 앞에서 특별한 동요를 보이지 않는 서래. 경찰은 보통의 유가족과는 다른 서래를 용의선상에 올린다. 해준은 사건 당일의 알리바이 탐문과 신문, 잠복수사를 통해 서래를 알아가면서 그녀에 대한 관심이 점점 커져가는 것을 느낀다. 한편 좀처럼 속을 짐작하기 어려운 서래는 상대가 자신을 의심한다는 것을 알면서도 조금의 망설임도 없이 해준을 대하는데...","[{""id"": 53, ""name"": ""스릴러""}, {""id"": 9648, ""name"": ""미스터리""}, {""id"": 10749, ""name"": ""로맨스""}]",138,"Netflix, Watcha, Netflix Standard with Ads, TVING, wavve, Google Play Movies",2022-06-29,https://image.tmdb.org/t/p/w500/rXEJ28XDQsogIGqwVEgwM2oDdpl.jpg,TMDB
1466115,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",MOVIE,하루가 지나면 모든 기억이 사라지는 특별한 여고생. 그녀 앞에 조용하고 다정한 같은 반 남학생이 나타난다. 매일이 첫날처럼 새로운 그들의 사랑은 과연 피어날 수 있을까?,"[{""id"": 10749, ""name"": ""로맨스""}, {""id"": 18, ""name"": ""드라마""}]",106,"Netflix, Netflix Standard with Ads",2025-12-24,https://image.tmdb.org/t/p/w500/bMA6E5cu1QUMehjBZOjWjqQjhey.jpg,TMDB
118451,은교,MOVIE,"한적한 산 속, 제자이자 이적요를 아버지처럼 모시는 소설가 서지우만이 드나드는 노시인 이적요의 집에 어느 날 우연히 여고생 은교가 나타난다. 집안일을 돕게 된 은교가 맑은 웃음소리를 내고, 이적요는 그녀의 젊고 순수하면서도 관능미를 갖고 있는 싱그러운 육체에 매료된다. 한편 스승을 존경하는 한편 손에 잡히지 않는 스승의 재능과 소녀 은교를 향한 질투심으로 갈등하는 제자의 열패감도 소리없이 늘어가며, 질투와 매혹으로 뒤얽힌 세 사람의 숨겨진 이야기가 펼쳐지는데...","[{""id"": 18, ""name"": ""드라마""}, {""id"": 10749, ""name"": ""로맨스""}]",129,"Netflix, wavve, Netflix Standard with Ads, TVING, Google Play Movies",2012-04-25,https://image.tmdb.org/t/p/w500/tyT8i7zOfMvge8cOoYin0wLSHeL.jpg,TMDB
486589,레드슈즈,MOVIE,"사건 사고가 끊이지 않는 동화의 섬. 사라진 아빠를 찾던 화이트 왕국의 공주는 우연히 마법구두를 신고 이전과 완벽하게 다른 ‘레드슈즈’로 거듭난다. 한편, 초록색 난쟁이가 된 일곱 왕자들은 우연히 자신들의 집에 머물게 된 '레드슈즈’가 저주를 풀 유일한 희망이라 생각해 그녀를 돕기 시작하고, 영원한 아름다움을 꿈꾸는 왕비 ‘레지나’는 마법구두를 신고 성을 빠져나간 ‘레드슈즈’를 쫓기 시작하는데…","[{""id"": 16, ""name"": ""애니메이션""}, {""id"": 14, ""name"": ""판타지""}, {""id"": 10751, ""name"": ""가족""}, {""id"": 35, ""name"": ""코미디""}, {""id"": 10749, ""name"": ""로맨스""}, {""id"": 12, ""name"": ""모험""}]",92,Google Play Movies,2019-07-25,https://image.tmdb.org/t/p/w500/3yZ54uGQ4HxEbpNVO565mU1xagp.jpg,TMDB
437068,택시운전사,MOVIE,"택시운전사 만섭은 아내를 여의고 11살 딸을 키우며 어렵게 살림을 꾸리는 가장. 외국손님을 태우고 광주에 갔다 통금 전에 돌아오면 밀린 월세를 갚을 수 있는 거금 10만원을 준다는 말에  독일기자 피터를 태우고 영문도 모른 채 길을 나선다. 피터는 독일 공영방송 소속 기자로, 일본에서 ‘광주가 심상치 않다’는 말을 듣고 광주로 향한다. 어떻게든 택시비를 받아야 하는 만섭의 기지로 검문을 뚫고 겨우 들어선 광주. 위험하니 서울로 돌아가자는 만섭의 만류에도 피터는 대학생 재식과 황기사의 도움 속에 촬영을 시작하는데...","[{""id"": 18, ""name"": ""드라마""}, {""id"": 36, ""name"": ""역사""}]",137,"Netflix, wavve, Watcha, Netflix Standard with Ads, TVING, Google Play Movies",2017-08-02,https://image.tmdb.org/t/p/w500/pCdx7X5JLaSJZLNVtpryGSdjvvB.jpg,TMDB
919207,서울의 봄,MOVIE,"박 대통령의 암살 이후, 계엄령이 선포된다. 국군보안사령관 전두광과 그를 따르는 장교들에 의해 쿠데타가 일어나고 군대가 정치적 행동을 해선 안된다고 믿는 완고한 군인인, 수도방위사령관 이태신은 전두광을 막기 위해 그와 맞서기로 한다. 그들의 갈등이 점차 심화되고, 대혼란 속에서 모두가 갈망하던 서울의 봄은 예상치 못한 방향으로 흘러간다.","[{""id"": 18, ""name"": ""드라마""}, {""id"": 53, ""name"": ""스릴러""}, {""id"": 28, ""name"": ""액션""}, {""id"": 10752, ""name"": ""전쟁""}, {""id"": 36, ""name"": ""역사""}, {""id"": 80, ""name"": ""범죄""}]",141,"Netflix, Netflix Standard with Ads, wavve",2023-11-22,https://image.tmdb.org/t/p/w500/ukVVnY9ovwl78WE5KndcpA6SnAm.jpg,TMDB
94047,마이웨이,MOVIE,"1938년 경성. 제 2의 손기정을 꿈꾸는 조선청년 준식과 일본 최고의 마라톤 대표선수 타츠오. 어린 시절부터 서로에게 강한 경쟁의식을 가진 두 청년은 각각 조선과 일본을 대표하는 세기의 라이벌로 성장한다. 그러던 어느 날, 준식은 예기치 못한 사건에 휘말려 일본군에 강제 징집되고 그로부터 1년 후, 일본군 대위가 된 타츠오와 운명적인 재회를 하게 된다. 2차 세계대전의 거대한 소용돌이에 던져진 두 청년은 중국과 소련, 독일을 거쳐 노르망디에 이르는 12,000Km의 끝나지 않는 전쟁을 겪으며 점차 서로의 희망이 되어가는데… 적으로 만나 서로의 희망이 된 조선과 일본의 두 청년 국적을 초월한 인간애의 드라마가 시작된다!","[{""id"": 18, ""name"": ""드라마""}, {""id"": 28, ""name"": ""액션""}, {""id"": 36, ""name"": ""역사""}, {""id"": 10752, ""name"": ""전쟁""}]",137,"wavve, Watcha",2011-12-21,https://image.tmdb.org/t/p/w500/iMtEu7346RUV26OMwoqOPHrKERe.jpg,TMDB
